movieID,title,year,description,ratings_sum,review_count
114709.0,Toy Story,1995,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,100.5,25.0
113497.0,Jumanji,1995,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.",78.0,25.0
113228.0,Grumpier Old Men,1995,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",65.0,25.0
114885.0,Waiting to Exhale,1995,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.",51.0,25.0
113041.0,Father of the Bride Part II,1995,"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",61.0,25.0
113277.0,Heat,1995,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,93.5,25.0
114319.0,Sabrina,1995,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",73.0,25.0
112302.0,Tom and Huck,1995,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,44.0,18.0
114576.0,Sudden Death,1995,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,54.5,25.0
113189.0,GoldenEye,1995,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon.",82.0,25.0
112346.0,"American President, The",1995,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.",86.0,25.0
112896.0,Dracula: Dead and Loving It,1995,,47.0,25.0
112453.0,Balto,1995,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",64.5,25.0
113987.0,Nixon,1995,A biographical story of former U.S. President,83.5,25.0
112760.0,Cutthroat Island,1995,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,50.0,25.0
112641.0,Casino,1995,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.",103.0,25.0
114388.0,Sense and Sensibility,1995,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",95.5,25.0
113101.0,Four Rooms,1995,Four interlocking tales that take place in a fading hotel on New Year's Eve.,60.5,25.0
112281.0,Ace Ventura: When Nature Calls,1995,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",69.0,25.0
